2025-07-26 21:08:36.658 -03:00 [INF] Logging service initialized
2025-07-26 21:08:36.707 -03:00 [INF] Starting Basic3DEngine with game: DemoGame
2025-07-26 21:08:36.863 -03:00 [INF] Graphics device created: OpenGL
2025-07-26 21:08:36.863 -03:00 [INF] Command list created
2025-07-26 21:08:36.918 -03:00 [INF] Physics world initialized
2025-07-26 21:08:36.951 -03:00 [INF] Game initialized
2025-07-26 21:08:36.951 -03:00 [INF] Entering main game loop
2025-07-26 21:08:37.019 -03:00 [DBG] GameObject Ground - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.028 -03:00 [DBG] GameObject Cube 0 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.028 -03:00 [DBG] GameObject Cube 1 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.028 -03:00 [DBG] GameObject Cube 2 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.028 -03:00 [DBG] GameObject Cube 3 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.028 -03:00 [DBG] GameObject Cube 4 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.028 -03:00 [DBG] GameObject Sphere 0 - Components: SphereRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.029 -03:00 [DBG] GameObject Sphere 1 - Components: SphereRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.029 -03:00 [DBG] GameObject Sphere 2 - Components: SphereRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Ground - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Cube 0 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Cube 1 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Cube 2 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Cube 3 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Cube 4 - Components: CubeRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Sphere 0 - Components: SphereRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Sphere 1 - Components: SphereRenderComponent, RigidbodyComponent
2025-07-26 21:08:37.045 -03:00 [DBG] GameObject Sphere 2 - Components: SphereRenderComponent, RigidbodyComponent
